,geohash8,decision_date,decision_type
155,dhtwz2bt,2023-02-01,repair
156,dhtwz8bj,2022-10-01,repair
157,dhtwz8bj,2023-03-01,repair
158,dhtwz2bb,2022-10-01,repair
159,dhtwz2bb,2022-12-01,repair
160,dhtwz2bb,2023-03-01,repair
161,dhtwz2cj,2022-12-01,repair
162,dhtwz2cj,2023-01-01,repair
163,dhtwzsy7,2022-10-01,repair
164,dhtwz3nd,2023-02-01,repair
165,dhtwz2zj,2023-01-01,repair
166,dhtwz2zj,2023-02-01,repair
167,dhtwz2ck,2023-05-01,repair
168,dhtwz308,2022-11-01,repair
169,dhtwz3nf,2023-08-01,repair
170,dhtwz2c2,2022-12-01,repair
171,dhtwz2c2,2023-08-01,repair
172,dhtwz2ym,2023-03-01,repair
173,dhtwz296,2023-03-01,repair
174,dhtwz1p9,2023-07-01,repair
175,dhtwz2yt,2023-01-01,repair
176,dhtwzyzq,2022-11-01,repair
177,dhtwz30f,2023-04-01,repair
178,dhtwz2bz,2022-09-01,repair
179,dhtwz2cu,2022-10-01,repair
180,dhtwz2cu,2022-11-01,repair
181,dhtwz0rz,2022-12-01,repair
182,dhtwz314,2023-01-01,repair
183,dhtwz28j,2023-03-01,repair
184,dhtwz2bx,2022-10-01,repair
185,dhtwz2bx,2023-06-01,repair
186,dhtwz281,2022-12-01,repair
187,dhtxpfy5,2022-08-01,repair
188,dhtxpfy5,2022-10-01,repair
189,dhtxpfy5,2022-11-01,repair
190,dhtxpfy5,2022-12-01,repair
191,dhtxpfy5,2023-03-01,repair
192,dhtxpfy5,2023-07-01,repair
193,dhtwz0xw,2022-11-01,repair
194,dhtwz22x,2023-01-01,repair
195,dhtwz22x,2023-02-01,repair
196,dhtybjeu,2022-07-01,repair
197,dhtybjeu,2022-12-01,repair
198,dhtybjeu,2023-06-01,repair
199,dhtwz3nf,2023-01-01,repair
200,dhtwz2cj,2022-12-01,repair
201,dhtwz2cj,2023-02-01,repair
202,dhtz0g1b,2023-01-01,repair
203,dhtwz304,2022-10-01,repair
204,dhtwz2cg,2023-04-01,repair
205,dhtwz2bf,2023-01-01,repair
206,dhtwz302,2023-05-01,repair
207,dhtwz3pb,2023-04-01,repair
208,dhtwzhpp,2023-04-01,repair
209,dhtwz0zu,2022-11-01,repair
210,dhtwz0zu,2023-01-01,repair
211,dhtwz0zx,2023-03-01,repair
212,dhtwz310,2022-12-01,repair
213,dhtwz23z,2023-01-01,repair
214,dhtwz2ce,2023-09-01,repair
215,dhtwz28f,2023-04-01,repair
216,dhtwz2bp,2022-10-01,repair
217,dhtwz28c,2022-11-01,repair
218,dhtwzhhh,2023-03-01,repair
219,dhtwz2zj,2022-11-01,repair
220,dhtwzup0,2022-12-01,repair
221,dhtwzup0,2023-04-01,repair
222,dhtwzup0,2023-04-01,repair
223,dhtwz30f,2023-02-01,repair
224,dhtwz310,2023-01-01,repair
225,dhtwz2zj,2022-10-01,repair
226,dhtwz30f,2023-01-01,repair
227,dhtwz2bx,2022-11-01,repair
228,dhtwz2bx,2022-12-01,repair
229,dhtwz2x0,2023-01-01,repair
230,dhtwz294,2022-11-01,repair
231,dhtwz306,2022-11-01,repair
232,dhtwz306,2023-02-01,repair
233,dhtwz3p8,2023-04-01,repair
234,dhtwz30f,2022-11-01,repair
235,dhtyb4hn,2023-06-01,repair
236,dhtyb238,2023-03-01,repair
237,dhtwz28j,2023-03-01,repair
238,dhtybnbk,2022-11-01,repair
239,dhtybnbk,2023-01-01,repair
240,dhtwz283,2023-05-01,repair
241,dhtwz287,2022-12-01,repair
242,dhtwz2bp,2022-10-01,repair
243,dhtwz3p6,2023-01-01,repair
244,dhtwz3nf,2023-01-01,repair
245,dhtwz283,2022-11-01,repair
246,dhtwz30d,2022-12-01,repair
247,dhtwz28c,2022-12-01,repair
248,dhtwz5eh,2022-11-01,repair
249,dhtwz30d,2023-05-01,repair
250,dhtwz30d,2022-10-01,repair
251,dhtwz30d,2023-08-01,repair
252,dhtwz2cp,2022-12-01,repair
253,dhtwz2cp,2023-09-01,repair
254,dhtwz294,2022-11-01,repair
255,dhtwz294,2023-02-01,repair
256,dhtwz2bm,2023-03-01,repair
257,dhtwz2cm,2023-03-01,repair
258,dhtwz2ct,2023-03-01,repair
259,dhtwz31b,2022-10-01,repair
260,dhtwz2yx,2023-04-01,repair
261,dhtwz2yx,2023-04-01,repair
262,dhtwz3pd,2023-01-01,repair
263,dhtwz2c5,2022-10-01,repair
264,dhtwz3p6,2022-11-01,repair
265,dhtwz2yv,2023-01-01,repair
266,dhtwz2yr,2022-10-01,repair
267,dhtwz2yr,2023-03-01,repair
268,dhtwz2yr,2023-04-01,repair
269,dhtwz2yr,2023-09-01,repair
270,dhtwzhme,2022-12-01,repair
271,dhtwz3p8,2022-10-01,repair
272,dhtwz3p8,2023-04-01,repair
273,dhtwz28f,2022-10-01,repair
274,dhtwz28f,2023-09-01,repair
275,dhtwz306,2023-02-01,repair
276,dhtwz306,2023-05-01,repair
277,dhtwz306,2023-07-01,repair
278,dhtwz2bs,2023-01-01,repair
279,dhtwz2zm,2023-04-01,repair
280,dhtwz3mf,2023-03-01,repair
281,dhtwz3mf,2023-08-01,repair
282,dhtwz28d,2023-01-01,repair
283,dhtwz28d,2023-03-01,repair
284,dhtwz0xx,2022-10-01,repair
