OBJECTID,Project Name,Status,Area,Type,Record Number,GlobalID,Description 1,Description 2,Construction Value ($)
1,Gator Golf Carts,Complete,Gateway/Airport,Commercial,COM2019-01213,5a977d80-7f30-4b0c-b5f9-f491b8205b79,"Single-phase construction of infrastructure to support a 9,052-SF single-story single-tenant commercial building for use as a golf cart sales facility on a 1.50-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, sidewalk, fencing, access gates, landscaping, and related improvements in conformance with the approved plans.",,
2,Knott SWICP,Complete,Gateway/Airport,Industrial,DOS2019-00100,8b07d2a8-6ef4-4737-b4e9-1ea0cbe4e2b3,"Approved for the Phase 1 construction of infrastructure to support three single-story commercial buildings [Lot C-1: 44,179-SF, Lot C-2: 54,979-SF, Lot C-3: 44,179-SF] for a combined general light industrial/office use [Lot C-1: 28,716-SF, Lot C-2: 35,736-SF, Lot C-3: 28,716-SF general light industrial use] on a 13.16-acre site with direct access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, three solid waste dumpster enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, bicycle racks, sidewalk, outdoor lighting, walls, monument signs, landscaping, and related improvements in conformance with the approved plans.",,
3,RecNation RV & Boat Storage,Complete,Gateway/Airport,Commercial,DOS2019-00075,efea0031-b29b-4311-ae69-ee063eabf642,"Approved for the single-phase construction of infrastructure to support five enclosed/unenclosed structures totaling 97,625-SF [Canopy A = 17,156-SF; Canopy B = 38,591-SF; Canopy C = 20,088-SF; Canopy D = 8,190-SF; Canopy E = 13,600-SF] for storage use and a 2-story commercial building for an office/caretaker residence use [1,287-SF office/1,383-SF caretaker residence] on a 6.90-acre site with direct access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, access gates, walls, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
4,RT Moore Office Warehouse,Complete,Gateway/Airport,Industrial,COM2018-10580,10e7b1c1-31c3-41b8-9e1f-dc2562546d8f,"Approved for the single-phase construction of infrastructure to support a 25,200-SF single-story general office/warehouse building [5,500-SF office and 19,700-SF warehouse] on a 4.03-acre site with indirect access to Jetport Loop, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, fencing, access gates, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
5,Conditioned Air Office/Warehoure Building,Complete,Gateway/Airport,Industrial,COM2019-01944,ec5199b7-3b26-4dce-8b0b-8dff42b602bf,"Approved for the single-phase construction of a 47,850-SF single-story commercial office/warehouse building on a 4.11-acre site with access to Global Parkway and Jetport Loop, related site grading, and other improvements including constructing utility (electric, sanitary sewer, water, etc.) connections, dumpster enclosures, truck wells, stormwater management infrastructure, a paved covered/uncovered parking lot and driveway accesses, traffic signing and pavement marking, sidewalk, outdoor lighting, wall, landscaping, and related improvements in conformance with the approved plans.",,
6,Holiday Inn Express,Complete,Gateway/Airport,Commercial,DOS2018-10081,0dcfbf84-d574-4874-ba5e-7a09ba64de92,"Originally approved as Two-phase construction of infrastructure to support a 5-story 100-room hotel building [Building 1], a 4-story 50-room hotel building [Building 2], and a 4,720-SF single-story commercial building for use as a non-medical/-dental office facility [Building 3] on a 4.53-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, three solid waste dumpster enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, bicycle racks, two uncovered patios, two pools and one large water feature, sidewalk, outdoor lighting, fencing, monument signs, landscaping, and related improvements in conformance with the approved plans.",,
7,Wildblue,Construction,Southeast Lee County,Residential,DCI2014-00009,eb504ea8-057f-4563-9c72-41357a986732,"Mixed use planned development approved for 1,096 residential units, 40,000 square feet of commercial, and 1,355 acres of conservation land.",Phase 4: DOS2020-00132 (169 SFR Units),
8,Premier Airport Park,Complete,Gateway/Airport,Industrial,DCI2006-00004,975f370f-605f-4b1d-a012-68fe52b1f494,"Originally approved for a five phase industrial park, consisting of 968,500 square feet in eight buildings [Bldg.# 1A: 104,500 sq.ft., Bldg.# 2A: 117,500 sq.ft., Bldg.# 3A: 130,500 sq.ft., Bldg.# 4A: 136,000 sq.ft., Bldg.# 4B: 136,000 sq.ft., Bldg.# 1B: 90,000 sq. ft.; Bldg.# 2B: 127,000 sq. ft.; Bldg.# 3B: 127,000 sq. ft.], and the construction of a 3,075 +/- foot four-lane divided east/west roadway extending from Airport Haul Road to the western property boundary with a cul-de-sac, drainage facilities, and related roadway improvements.",Phases 1-4 include DOS2008-00036 and DOS2009-00042.,
9,Florida Gulf Coast Technology & Research Park,Development Order,Gateway/Airport,Mixed Use,DOS2021-00017,9cbe6982-3fea-4c64-98fb-60bcb6df9ddc,"A Mixed Use Planned Development (MPD) to permit the development of up to 240 hotel/motel units; 650,000 square feet of retail use; 400,000 square feet of office use; and 3,897,000 square feet of industrial use. Approved for the Phase 1 construction of infrastructure to support a mixed-use planned development on a 231-acre site with direct access to Alico Road, related site grading, and other improvements including constructing/installing with the required permits.",,
10,Esplanade Lake Club,Complete,San Carlos,Residential,DCI2016-00017,df9b05a7-3a17-4baa-b60e-01728fd48aa2,"New residential community developed as part of the Centerplace Mixed Use Planned Development. The planned development allows for up to 1,950 residential units; 200,000 sq ft of retail; 110,000 sq ft of office; 20,000 sq ft of research & development; 10,000 sq ft of medical office; and 250 hotel/motel rooms. ",P1 DOS2018-10082,
12,Seagate Office Building,Complete,Gateway/Airport,Commercial,COM2019-00682,698b3789-7ef3-4462-8254-656aae5d98b7,"Approved for the single-phase construction of infrastructure to support a 12,700-SF two-story commercial building for use as a non-medical/-dental office on a 1.30-acre site with direct access to Interstate Commerce Drive, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, an electric generator enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
13,Murano At Three Oaks,Complete,San Carlos,Residential,COM2019-00006,47449083-666f-4c5d-bc49-3ac4fd3fbeae,"Originally approved for the single-phase construction of infrastructure to support two 159-unit four-story commercial buildings for use as multi-family housing on a 17.44-acre site with direct access to Three Oaks Parkway, related site grading, and other improvements including constructing/installing with the required permits: seven parking garages including a maintenance area connected to an 8-vehicle garage, utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer lift station, an irrigation system, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, a transit shelter, traffic signing and pavement markings, a bicycle rack, a ""shade"" pavilion, a playground, sidewalk, outdoor lighting, access gates, landscaping, and related improvements in conformance with the approved plans.",,
14,NeoGenomics,Complete,Gateway/Airport,Industrial,DOS2019-00140,dfeea89d-fb87-4431-addc-f0d555e6b3a6,"Approved for the single-phase construction of infrastructure to support 74,653-SF two-story [Building 2] and 74,970-SF two-story [Building 1] single-tenant commercial buildings for a respective non-medical office and supporting laboratory-related use on a 13.72-acre site with direct access to Assay Avenue and Neogenomics Way, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, solid waste dumpster enclosure, electric generator enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, paved roadways [Assay Drive and Neogenomics Way], traffic signing and pavement markings, bicycle racks, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
15,O'Reilly Auto Parts,Permitting,San Carlos,Commercial,COM2019-01439,51e4a97b-adcd-4444-9e87-f45c4bc43d27,"Construction of a new 7,596 SF commercial building, utilities and site improvements for the purpose of the retail sale of automotive parts and related accessories.",,
16,Gulf Coast Industrial Campus,Complete,Gateway/Airport,Industrial,DOS2016-00020,2d3aa104-5040-4762-80dc-fe843a91e7f8,"Approved for the single-phase construction of infrastructure to support six 52,000-SF single-story warehouse buildings (Buildings 1, 2, 3, 4, 7, and 8] and two 6,400-SF single-story office buildings [Buildings 5 and 6] on a 38.61-acre site with direct access to Lee Road, related site grading, and other improvements including constructing utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer lift station, a dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement marking, sidewalk, fencing, landscaping, and related improvements in conformance with the approved plans.",,
17,Freightliner Storage Building Addition,Complete,Gateway/Airport,Industrial,COM2020-01223,3c44f44d-135e-4fd1-bdc1-570af2289c68,"Single phase construction of infrastructure to support a single story, 6,026 GSF general warehouse building for use as storage (ITE Land Use Description 150) on an 11.74-acre existing developed site with direct access to Lee Road, related site grading, and other improvements including constructing/installing with the required permits: Fire hydrant/line extension and related improvements in conformance with the approved plans.",,
19,Quality Cabinets & Counters ,Complete,San Carlos,Industrial,COM2019-00605,a1ade961-af36-4a4e-ad9b-58b457aef172,"Approved for the single-phase construction of infrastructure to support a 19,800-SF single-story single-tenant commercial building for use as a manufacturing facility on a 1.65-acre site with direct access to Drew Circle, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, two solid waste dumpster enclosures, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, landscaping, and related improvements in conformance with the approved plans.",,
26,Aldi Food Market #26,Complete,South Fort Myers,Commercial,DOS2019-00038,28b200d2-c609-495c-9b25-8e6fc059f5bc,"Single-phase construction of infrastructure to support a 20,158-SF [excluding canopy area] single-story commercial building for a grocery store use on a 2.34-acre site with direct access to Six Mile Commercial Court, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, walls, landscaping, and related improvements, in conformance with the approved plans.",,
27,PopStroke Mini Golf,Complete,South Fort Myers,Commercial,DOS2019-00072,07b9a60a-08d1-4b07-8cd5-603d11d924bc,"Originally approved for the single-phase construction of infrastructure to support a 2,558-SF single-story single-tenant commercial building for a high-turnover (sit-down) restaurant use with additional 851-SF covered restaurant seating area and 36-hole miniature golf course on a 2.82-acre site with direct access to Six Mile Commercial Court, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a bicycle rack, a playground, sidewalk, outdoor lighting, fencing, landscaping, and related improvements in conformance with the approved plans.",,
29,Fort Myers Jaguar Renovation & Expansion,Complete,San Carlos,Commercial,COM2019-01048,1ce55d38-93e1-44a6-b8a1-0d2fce502b49,"Approved for the three-phase construction of infrastructure to support a 56,315-SF single-story commercial building for a new automobile dealership use on a 8.00-acre site with direct access to US 41, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer lift station, a non-public fueling station, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, sidewalk, outdoor lighting, fencing, access gates, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
30,Heights Foundation Early Learning and Education Center,Complete,Iona/McGregor,Other,DOS2019-00049,de6a0ee0-53f3-49a5-bceb-2f4e97e75fba,"Originally approved for the single-phase construction of infrastructure to support a 35,858-SF three-story commercial building to support a combined 180-student charter school [not to exceed 246 students ""within the school"" per Lee County Zoning Resolution Z-17-015] and 110-non-student daycare use on a 4.89-acre site with direct access to Hagie Drive, related site grading, and other improvements including constructing/installing with the required permits: a 200-SF unenclosed storage building, utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a bicycle rack, a 2,050-SF unenclosed covered play area, sidewalk, outdoor lighting, fencing, walls, landscaping, and related improvements in conformance with the approved plans.",,
31,Property Care Landscapes,Complete,Iona/McGregor,Commercial,DOS2019-00048,d5902d2f-42f7-4a82-a4ca-8030d95aa75f,"Approved for the single-phase construction of infrastructure to support a retail nursery facility with two 400-SF single-story office buildings, a 2,250-SF covered storage area, nursery plant display area and plant staging area on a 3.85-acre site with direct access to Pine Ridge Road, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, storm water management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a sidewalk, fencing, wall, landscaping, and related improvements in conformance with the approved plans.",,
32,Cultural Art Center at Shell Point,Complete,Iona/McGregor,Commercial,DOS2018-10071,b13809ef-31a4-4c52-8fca-f16625c77b44,"Approved for the single-phase construction of infrastructure to support a 27,650-SF [building footprint] two-story building for use as a cultural art and 407-seat event center amenity [auditorium limited to 25% general public seating] on a 11.64-acre site with direct access to On Par Boulevard, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer grinder pump station, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, walls, landscaping, and related improvements in conformance with the approved plans.",,
33,Pine Ridge Mixed Use,Permitting,Iona/McGregor,Mixed Use,DOS2021-00132,e918d730-3fc9-491b-b6db-1ec92cc81d5e,"Approved for a 3-lot platted subdivision and the Phase 1 construction of infrastructure to support 150 low-rise multi-family dwelling units in four 3-story commercial buildings [Building 1 & 4 – 39 units, building 2 – 34 units & Building 3 – 38 units] on a 14.97-acre site with direct access to Pine Ridge Road and San Carols Boulevard.",,
34,Springhill Suites by Marriott,Development Order,Iona/McGregor,Commercial,COM2022-01379,ac00e209-94c4-48b1-b793-b7157b7b487b,"Approved for a 120 room, 4 story, 45.33’ high, 78,261 GSF hotel (ITE LUC 310) on a 4.11-acre site with direct access to Summerlin Square Rd, related site grading, and other improvements including constructing/installing with the required permits: electric, sanitary sewer, water, connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and 2 driveway accesses, bicycle rack, an uncovered deck/patio, a pool, on-site and off-site sidewalks, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
35,Holiday Inn Express,Complete,Iona/McGregor,Commercial,DOS2018-10062,104f2664-1afa-4612-a14c-55de71ec1d18,"Approved for the single-phase construction of infrastructure to support an 80-room four-story commercial building for use as a hotel on a 2.0-acre site with direct access to Summerlin Square Drive, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a covered patio, a pool, sidewalk, outdoor lighting, fencing, landscaping, and related improvements in conformance with the approved plans.",,
36,Summerlin Ridge Lot 4,Complete,Iona/McGregor,Commercial,DOS2019-00026,d36fb728-d6cb-4c29-b737-d1ebd3528364,"Approved for the single-phase construction of infrastructure to support a 4,216-SF single-story single- and/or multi-tenant commercial building for medical office use and a 9,084-SF single-story multi-tenant commercial building for retail use on a 3.06-acre site with direct access to Myriad Lane and Saxum Drive, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, a transit stop, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, a wall, landscaping, and related improvements in conformance with the approved plans.",,
37,Gulf Star Marina,Complete,Iona/McGregor,Commercial,COM2018-11049,77564b65-8668-4fd3-b162-3599f654c65f,"Originally approved for the single-phase construction of infrastructure to support a 27,756-SF 103-dry slip single-story dry boat storage building (to replace an existing building), 44 existing wet boat slips, an existing 5,000-SF high-turnover sit-down restaurant with 1,500-SF outdoor seating area, and an existing 2,132-SF high-turnover sit-down restaurant with 1,000-SF outdoor seating area on a 2.62-acre site with direct access to Fisherman's Wharf.",,
40,Corkscrew Estates,Complete,Southeast Lee County,Residential,LDO2016-00328,e572140e-6e50-480f-9263-576e5ae12094,"A private, gated community with 59 estate homesites just under 1 acre in size developed by Pulte Homes.",,
41,The Place At Corkscrew,Construction,Southeast Lee County,Residential,DOS2017-00086,bd70aa7c-790c-4750-ba47-9e1ea55af0b0,"A Residential Planned Development to permit 1,325 residential dwelling units and 50,000 square feet of residential amenities.",,
43,Estero Pointe,Complete,Estero,Residential,DOS2016-00005,7d4fab21-4c83-483b-b2a7-9173274e8ce2,"Approved for the single-phase construction of infrastructure to support 64 single-family dwelling units on a 61.33-acre site with direct access to Allaire Lane Southwest/Pine Road, related site grading, and other improvements including constructing a park/amenity area with 2 bocce courts, utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, water pump station, stormwater management infrastructure, an irrigation system, a paved parking area, paved internal roadways [Estero Pointe Lane, Pine Road], traffic signing and pavement marking, mail kiosk, gazebo, sidewalk, walking path, fencing, access gates, wall, landscaping, and related improvements in conformance with the approved plans.",,
44,Alta Contact Center,Complete,Gateway/Airport,Commercial,DOS2019-00139,632f9d3d-b5e2-4cc9-aa7c-b68a7647c486,"Single-phase construction of infrastructure to support a 97,338-SF three-story (maximum 1,100 employees) single-tenant commercial building for a non-medical office use on a 12.51-acre site with direct access to Paul J Doherty Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer lift station, four solid waste dumpster enclosures, a paved uncovered parking lot and driveway accesses, eastbound/westbound Paul J Doherty Parkway left-/right-turn lanes at the southeast site access, a westbound Paul J Doherty Parkway left-turn lane at the southwest site access, traffic signing and pavement markings, 16 bicycle racks, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
47,ABC #76 Summerlin Ridge,Complete,Iona/McGregor,Commercial,DOS2019-00039,448804df-fbe1-4a6b-8525-03203731eb36,"Approved for the single-phase construction of infrastructure to support a 10,980-SF single-story single-tenant commercial building for a liquor store use on a 1.37-acre site with direct access to Myriad Lane and Saxum Drive, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, a wall, landscaping, and related improvements in conformance with the approved plans.",,
48,Bluewater Of South Florida Open Space Storage,Complete,Gateway/Airport,Industrial,DOS2019-00011,2b020fa2-aabc-4514-be7c-614aa5e0298e,"Approved for the single-phase construction of infrastructure to support an open storage area, on a 1.12-acre site with direct access to Mainline Parkway, related site grading, and other improvements including constructing/installing with the required permits, stormwater management infrastructure, a paved/unpaved uncovered parking area and driveway access, fencing, an access gate, landscaping, and related improvements in conformance with the approved plans. [CNC2019-00011]",,
49,Frantz Surgical Center,Complete,Gateway/Airport,Commercial,DOS2020-00107,3a57033e-a34c-4dd2-80e4-4371eaea9c6c,"Approved for the single-phase construction of infrastructure to support a 60,900-SF two-story single-tenant commercial building for a medical office (surgery center) use on a 14.77-acre site with direct access to Gulf Research Lane, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, an electric generator enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, a bicycle rack, walkways, outdoor lighting, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
51,Florida Cancer Specialists,Complete,Gateway/Airport,Industrial,DOS2019-00045,c43a33fa-91f1-4a93-a7f7-3029ce5084d6,"Approved for the single-phase construction of infrastructure to support a 40,000-SF two-story multi-tenant commercial building and future 10,000-SF addition for a combined non-medical office/warehouse use [50/50 respectively] on a 5.11-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, sidewalk, outdoor lighting, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
52,Athenian Academy Three Oaks,Complete,San Carlos,Other,DOS2018-00030,5d21a90e-4135-4e6b-8f55-ac744d15557f,"Originally approved as a platted subdivision and the three-phase construction of infrastructure to support a 34,367-SF two-story commercial building for use as a 1,145-student kindergarten through eighth-grade charter school and a 18,417-SF single-story commercial building for use as a day care center on a 9.70-acre site with direct access to Oak Center Drive and Oak Town Center Lane, related site grading, and other improvements",,
55,Extra Space Storage,Complete,San Carlos,Commercial,COM2018-10261,8e7cbf24-e05d-4e87-a656-aaeaed295e8d,"Approved for the single-phase construction of infrastructure to support a 95,400-SF three-story mini-warehouse building on a 3.38 acre site with direct access to Frontage Road, related site grading, and other improvements including constructing/installing with the required permits, utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a septic system, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, sidewalk, outdoor lighting, fencing/guard railing, an access gate, landscaping, and related improvements in conformance with the approved plans.",,
57,Alico Business Park Tract A & B,Complete,Gateway/Airport,Industrial,DOS2006-00093,dd903035-3803-430f-ab02-f5d9c137602d,"Originally approved for 201,760 square feet of light industrial uses in four buildings [Bldg.#1: 42,680 sq.ft., Bldg.#2: 42,680 sq.ft., Bldg.#3: 58,200 sq.ft., Bldg.#4: 58,200 sq.ft.], with parking, landscaping, utilities, stormwater management facilities, and related site improvements. Amendment Change #1, revisions to the site plan to include a reduction in lake size, an additional unpaved storage area, a reduction in total building gross floor area to 177,732-SF [Building #1 and #2: 44,237-SF; Building #3 and #4: 29,883-SF], including any necessary changes to the associated parking, landscaping, utilities, storm water management facilities.",Existing and future tenants include CleverTech-Group.,
58,Future Options,Permitting,South Fort Myers,Commercial,DOS2019-00138,331a0a6f-0b24-48c1-b918-6a1c4876240d,"Approved for the single-phase construction of infrastructure to support a 4,920-SF single-story commercial building for a medical/dental office use on a 0.63-acre site with direct access to Metropolis Avenue, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",COM2019-02226,
59,Suncoast Credit Union - Estero Branch,Complete,San Carlos,Commercial,COM2019-02237,9d2621a0-f75b-457f-8e98-199b8c8c3588,"Approved for the single-phase construction of infrastructure to support a 4,085-SF single-story single-tenant commercial building for use as a bank with three drive-through lanes on a 1.24-acre site with direct access to Pine Road, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a sanitary sewer lift station, an irrigation system and well, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
60,FastTrax,Permitting,Gateway/Airport,Commercial,COM2019-02208,e47efd4a-14e8-41ed-bfe2-f1f73089d3c5,"Approved for the single-phase construction of infrastructure to support a two-story 65,120-SF commercial building for a multi-purpose recreational [56,438-SF] and high-turnover (sit-down) restaurant [8,682-SF with no outdoor seating area] use on a 3.20-acre site with direct access to Global Parkway, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway access, a transit stop, traffic signing and pavement markings, a bicycle rack, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
61,Stor-All Public Warehouse ,Development Order,Gateway/Airport,Commercial,DOS2024-00092,79d25bce-0e91-4a70-aea7-5652f90b8b15,"The proposed construction consists of a 4-story, 90,000± sf indoor self-storage building on 1.38± acre Jetway Trade port Development, Tract F.",,
62,Porsche Dealership of Fort Myers,Complete,Gateway/Airport,Commercial,DOS2009-00020,92f64115-4264-45b6-a734-6955658dfe46,"Approved for a 13,912 square foot two-story new car sales building with open parking, vehicle display area, landscaping, water & sewer services, stormwater management facilities, a monument sign, and related site improvements. ",,
64,Home2Suites,Complete,Gateway/Airport,Commercial,COM2019-00867,25cbcbb7-1c24-4e01-9a13-407168d91746,"Approved for the single-phase construction of infrastructure to support a 73,057-SF multi-story commercial building for a hotel use on a 3.48-acre site with direct access to Airkraft Court, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, traffic signing and pavement markings, a bicycle rack, a pool, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
66,7-Eleven #38303,Complete,Lehigh Acres,Commercial,DOS2019-00131,5ad7a84f-100e-4224-aad8-c86a4df88e6d,"Approved for the single-phase construction of infrastructure to support a 3,520 GSF convenience market building (ITE Land Use Code 960) without outdoor seating area with 21 total fueling positions and a 980 GSF Car Wash on a 2.42 acre parcel with direct access to Blackstone Drive, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, an irrigation system, a solid waste dumpster enclosure, stormwater management infrastructure, underground fuel storage tanks, 2 fueling canopies, a paved parking lot and 2 driveway access(es), a right turn lane (125 feet) at the northern proposed driveway on Blackstone Dr., traffic signing and pavement markings, bicycle rack(s), sidewalks/walkways, outdoor lighting, a monument sign, landscaping, and related improvements in conformance with the approved plans.",,
67,Island Storage Suites,Complete,Iona/McGregor,Commercial,DOS2017-00062,ac6ad293-0ff0-46c1-b235-363628a676f5,"Originally Approved for the single-phase construction of infrastructure to support six self-storage single-story buildings that combine to a total of 99,550 SF on an 8.95-acre site with direct access to Pine Ridge Road and Old South Way, related site grading, and other improvements including constructing/installing with the required permits, utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, stormwater management infrastructure, a paved uncovered parking lot and driveway accesses, outdoor lighting, fencing, an access gate, landscaping and related improvements in conformance with the approved plans.",,
68,SR82/Blackstone,Development Order,Lehigh Acres,Commercial,DOS2020-00135,0a1ee5e7-96f1-4063-81f0-3b4bef1cf0ae,"Proposed construction of 4 commercial buildings (76,470 Sq. Ft. total area) with associated parking, turn-lane, sidewalks, landscaping and infrastructure improvements.",,
70,Eastern Metal Supply,Complete,Gateway/Airport,Industrial,COM2018-11132,2b6d9e13-5b15-474f-951b-310b9b6cbaaf,"Originally approved for the single-phase construction of infrastructure to support a 88,096-SF single-story single-tenant commercial building addition [uses include 26,918-SF manufacturing, 2,650-SF office, 48,618-SF warehousing] to an existing manufacturing facility on a 20.00-acre site with direct access to Domestic Avenue, related site grading, and other improvements including constructing/installing with the required permits: utility (i.e. electric, gas, sanitary sewer, water, etc.) connections, a solid waste dumpster enclosure, stormwater management infrastructure, a paved uncovered parking lot, traffic signing and pavement markings, sidewalk, outdoor lighting, landscaping, and related improvements in conformance with the approved plans.",,
