OBJECTID,Project Name,Status,Area,Type,Record Number,GlobalID,Description 1,Description 2,Construction Value ($)
403,Towne PLace Suites at Estero,Complete,Gateway/Airport,Commercial,DOS2022-00026,499b31cd-474d-4a43-9bba-fd5ac364a4a4,"The project consists of the construction of a 126-unit hotel with a parking lot and all the associated supporting infrastructure (potable water, fire protection, sanitary sewer, irrigation, etc.)",COM2022-01092,
405,Daniels Tractor Supply,Construction,Daniels Parkway,Commercial,DOS2023-00015,158a56ed-fb85-4d54-99ea-6c53876d3cb9,"Approved for the single-phase construction of infrastructure to support a one -story, 22,012-SF tractor supply building on a 4.08-acre site with indirect access to Daniels Parkway via Shire Lane.",,
407,Tibbetts Lumber Co. Truss Plant Expansion IPD,Development Order,Lehigh Acres,Industrial,DOS2025-00066,b6588cc9-ee5e-4150-a358-94b5f9c01617,"Approved for the single-phase construction of infrastructure to support one maximum 42,548-SF one-story building (includes a 2,548-SF mezzanine/office), two covered (10,508-SF & 3,100-SF) storage areas and associated outdoor storage and service area (Total combined GFA of all buildings is 56,156) for a manufacturing use on an approximate 6.55 acre site with direct access to Timmers Lane and Livingston Way.",,
411,TCW Tamiami Trail,Development Order,North Fort Myers,Commercial,DOS2022-00167,88e62ea1-d912-4551-97bb-29eeada0a7f3,"This project includes the construction of an approximately 4,500 SF conveyor tunnel car wash with associated parking, vacuum stations,  and underground storm/utility infrastructure. The entire property is approximately 4.70 acres but the proposed work will impact 2.07 acres.",REZ2022-00002,
414,Porsche Fort Myers,Construction,Gateway/Airport,Commercial,DOS2022-00021,ffbe7c8f-3128-4cbe-a65a-c00adc4671f7,"Approved for the single-phase construction of infrastructure to support maximum 61,117-SF three–story [main building], 3,985-SF single-story [wash and detail building], and 747-SF single-story [battery building] commercial buildings for a new automobile sales use on a 7.79-acre site with direct access to Daniels Interstate Court and Thunder Road.",,
415,Commercial Kitchen Fort Myers,Permitting,South Fort Myers,Commercial,DOS2022-00028,d37a7e19-dc23-4177-9868-6e4ba1d3d1be,"New industrial building and related site work. Includes 7,000 sf catering kitchen, 1,834 sf of office spaces and 7,166 sf of warehouse spaces.",,
416,River Haven,Development Order,Northeast Lee County,Residential,DOS2022-00030,96158756-3a84-45c3-987f-f10c0d904737,"Approved for a twenty two-lot platted subdivision and the one-phase construction of infrastructure to support 22 single-family detached dwelling units, on a 105.13-acre site with direct access to Palm Beach Blvd.",,
417,137 Gretchen Avenue S. Office & Warehouse,Development Order,Lehigh Acres,Commercial,DOS2023-00089,fd7fc276-069b-45d7-964c-1e58ba59d997,"Proposed 1-story building. 5,100 square foot building, having 600 square feet of Office Space and 4,500 square feet of Warehousing Space. ",,
418,Amazon Distribution Building ,Complete,Gateway/Airport,Commercial,DOS2021-00013,fba80c47-e10a-466e-8f5e-9f53cdd668f6,"Approved for the single-phase construction of infrastructure to support a 181,500-SF single-story commercial building for a high-cube fulfillment center warehouse use on a 44.90-acre site with direct access to Delivery Way, Lee Road, and Logistics Boulevard, related site grading, and other improvements including constructing/installing with the required permits.",,
420,Lee Health Metro Medical Park,Planning/Zoning,South Fort Myers,Commercial,DCI2022-00016,01bc03cd-8265-43e4-8176-68c89755160f,"The proposed request will seek to amend the current CPD zoning to include an additional ±18-acres and allow for 126 additional beds and 150,000 of commercial uses.",,
421,Center Place,Permitting,San Carlos,Commercial,DOS2022-00044,d7d9082f-1143-4c77-b131-2087cb4428c2,"Approved for the single-phase construction of infrastructure to support a maximum 62,552-SF development to include three commercial buildings, including a maximum 6,256-SF single-story building with maximum 700-SF restaurant outdoor seating area [Building 100], a maximum 49,340-SF two-story building with no restaurant outdoor seating area [Building 200], and a maximum 6,256-SF single-story building with drive-through and no restaurant outdoor seating area [Building 300], all for a mixed retail, maximum 10,050-SF dental/medical office, and maximum 1,875-SF fast food and 7,600-SF high-turnover sit-down restaurant (including outdoor seating area) use on a 4.64-acre site with direct access to Cheeca Court.",,
422,Cayo Pelon,Development Order,Gateway/Airport,Residential,DOS2022-00045,c5cd945e-4c85-4296-bb0c-5f1b9ba73a4f,"Request to approve a proposed multifamily development that consists of 220 units within 5 buildings along with site amenities and associated parking, access improvements and utility drainage infrastructure.",,
